Symbol,Date,Exchange,TOD,Volume
BHP,20140122,NASDAQ OMX BX,Regular,25272
BHP,20140122,NASDAQ OMX BX,Open,0
BHP,20140122,NASDAQ OMX BX,After-Hours,0
BHP,20140122,NASDAQ OMX BX,Close,0
BHP,20140122,NYSE Arca SM,Regular,171352
BHP,20140122,NYSE Arca SM,Open,3
BHP,20140122,NYSE Arca SM,After-Hours,44566
BHP,20140122,NYSE Arca SM,Close,300
BHP,20140122,FINRA,Regular,354901
BHP,20140122,FINRA,Open,0
BHP,20140122,FINRA,After-Hours,0
BHP,20140122,FINRA,Close,0
BHP,20140122,BATS,Regular,108205
BHP,20140122,BATS,Open,0
BHP,20140122,BATS,After-Hours,0
BHP,20140122,BATS,Close,0
BHP,20140122,Direct Edge X,Regular,59100
BHP,20140122,Direct Edge X,Open,0
BHP,20140122,Direct Edge X,After-Hours,3100
BHP,20140122,Direct Edge X,Close,0
BHP,20140122,NASDAQ OMX,Regular,157440
BHP,20140122,NASDAQ OMX,Open,100
BHP,20140122,NASDAQ OMX,After-Hours,1948
BHP,20140122,NASDAQ OMX,Close,262
BHP,20140122,Direct Edge A,Regular,49389
BHP,20140122,Direct Edge A,Open,0
BHP,20140122,Direct Edge A,After-Hours,0
BHP,20140122,Direct Edge A,Close,0
BHP,20140122,CBOE,Regular,7835
BHP,20140122,CBOE,Open,0
BHP,20140122,CBOE,After-Hours,0
BHP,20140122,CBOE,Close,0
BHP,20140122,NYSE,Regular,323319
BHP,20140122,NYSE,Open,23171
BHP,20140122,NYSE,After-Hours,0
BHP,20140122,NYSE,Close,23351
BHP,20140122,National,Regular,1561
BHP,20140122,National,Open,0
BHP,20140122,National,After-Hours,0
BHP,20140122,National,Close,0
BHP,20140122,NASDAQ OMX PSX,Regular,9300
BHP,20140122,NASDAQ OMX PSX,Open,0
BHP,20140122,NASDAQ OMX PSX,After-Hours,0
BHP,20140122,NASDAQ OMX PSX,Close,0
BHP,20140122,Chicago,Regular,4000
BHP,20140122,Chicago,Open,0
BHP,20140122,Chicago,After-Hours,0
BHP,20140122,Chicago,Close,0
BHP,20140122,BATS Y,Regular,27905
BHP,20140122,BATS Y,Open,0
BHP,20140122,BATS Y,After-Hours,0
BHP,20140122,BATS Y,Close,0
BHP,20140131,NYSE Arca SM,Regular,97733
BHP,20140131,NYSE Arca SM,Open,100
BHP,20140131,NYSE Arca SM,After-Hours,33315
BHP,20140131,NYSE Arca SM,Close,210
BHP,20140131,FINRA,Regular,350166
BHP,20140131,FINRA,Open,0
BHP,20140131,FINRA,After-Hours,0
BHP,20140131,FINRA,Close,0
BHP,20140131,BATS,Regular,95452
BHP,20140131,BATS,Open,0
BHP,20140131,BATS,After-Hours,800
BHP,20140131,BATS,Close,0
BHP,20140131,Direct Edge X,Regular,50370
BHP,20140131,Direct Edge X,Open,0
BHP,20140131,Direct Edge X,After-Hours,500
BHP,20140131,Direct Edge X,Close,0
BHP,20140131,NASDAQ OMX,Regular,122901
BHP,20140131,NASDAQ OMX,Open,11
BHP,20140131,NASDAQ OMX,After-Hours,0
BHP,20140131,NASDAQ OMX,Close,277
BHP,20140131,Direct Edge A,Regular,47055
BHP,20140131,Direct Edge A,Open,0
BHP,20140131,Direct Edge A,After-Hours,0
BHP,20140131,Direct Edge A,Close,0
BHP,20140131,CBOE,Regular,1029
BHP,20140131,CBOE,Open,0
BHP,20140131,CBOE,After-Hours,0
BHP,20140131,CBOE,Close,0
BHP,20140131,NYSE,Regular,365455
BHP,20140131,NYSE,Open,25591
BHP,20140131,NYSE,After-Hours,0
BHP,20140131,NYSE,Close,46099
BHP,20140131,NASDAQ OMX BX,Regular,22314
BHP,20140131,NASDAQ OMX BX,Open,0
BHP,20140131,NASDAQ OMX BX,After-Hours,0
BHP,20140131,NASDAQ OMX BX,Close,0
BHP,20140131,NASDAQ OMX PSX,Regular,2382
BHP,20140131,NASDAQ OMX PSX,Open,0
BHP,20140131,NASDAQ OMX PSX,After-Hours,0
BHP,20140131,NASDAQ OMX PSX,Close,0
BHP,20140131,National,Regular,600
BHP,20140131,National,Open,0
BHP,20140131,National,After-Hours,0
BHP,20140131,National,Close,0
BHP,20140131,BATS Y,Regular,21962
BHP,20140131,BATS Y,Open,0
BHP,20140131,BATS Y,After-Hours,0
BHP,20140131,BATS Y,Close,0
BHP,20140619,NASDAQ OMX PSX,Regular,5343
BHP,20140619,NASDAQ OMX PSX,Open,0
BHP,20140619,NASDAQ OMX PSX,After-Hours,0
BHP,20140619,NASDAQ OMX PSX,Close,0
BHP,20140619,BATS Y,Regular,50139
BHP,20140619,BATS Y,Open,0
BHP,20140619,BATS Y,After-Hours,0
BHP,20140619,BATS Y,Close,0
BHP,20140619,NYSE Arca SM,Regular,216990
BHP,20140619,NYSE Arca SM,Open,100
BHP,20140619,NYSE Arca SM,After-Hours,33426
BHP,20140619,NYSE Arca SM,Close,600
BHP,20140619,FINRA,Regular,405594
BHP,20140619,FINRA,Open,0
BHP,20140619,FINRA,After-Hours,0
BHP,20140619,FINRA,Close,0
BHP,20140619,NASDAQ OMX BX,Regular,35167
BHP,20140619,NASDAQ OMX BX,Open,0
BHP,20140619,NASDAQ OMX BX,After-Hours,0
BHP,20140619,NASDAQ OMX BX,Close,0
BHP,20140619,Direct Edge X,Regular,128210
BHP,20140619,Direct Edge X,Open,0
BHP,20140619,Direct Edge X,After-Hours,500
BHP,20140619,Direct Edge X,Close,0
BHP,20140619,NASDAQ OMX,Regular,158253
BHP,20140619,NASDAQ OMX,Open,100
BHP,20140619,NASDAQ OMX,After-Hours,100
BHP,20140619,NASDAQ OMX,Close,100
BHP,20140619,Direct Edge A,Regular,55534
BHP,20140619,Direct Edge A,Open,0
BHP,20140619,Direct Edge A,After-Hours,0
BHP,20140619,Direct Edge A,Close,0
BHP,20140619,NYSE,Regular,459812
